index,category,quality,format,compression,photo_type,lighting,artifact,platform_degradation,ethnicity,skin_tone,age,gender_presentation,background,edge_case,scene_subject,prompt
117,scene,low,jpeg,68,ATM security camera image,very low ambient light,lens distortion,as if shared on Twitter with reduced resolution,,,,,,,a video call screenshot with multiple participants,"A ATM security camera image of a video call screenshot with multiple participants, with very low ambient light, lens distortion, as if shared on Twitter with reduced resolution"
118,face,high,png,100,candid photo taken from a distance,dramatic side lighting,,as if downloaded from Instagram,Central Asian,dark brown skin,elderly,person,rooftop with skyline,wearing sunglasses,,"A candid photo taken from a distance of a elderly Central Asian person with dark brown skin in rooftop with skyline, with dramatic side lighting, wearing sunglasses, as if downloaded from Instagram"
119,nature,low,jpeg,31,thermal imaging camera capture,screen-lit in a dark room,heavy JPEG compression artifacts,as if downloaded from Instagram,,,,,,,a subway station tunnel with graffiti,"A thermal imaging camera capture of a subway station tunnel with graffiti, with screen-lit in a dark room, heavy JPEG compression artifacts, as if downloaded from Instagram"
120,face,low,webp,35,GoPro wide-angle action shot,harsh overhead fluorescent lighting,lens distortion,as if shared on Twitter with reduced resolution,East African,,young,man,cafe or restaurant,multiple faces overlapping,,"A GoPro wide-angle action shot of a young East African man in cafe or restaurant, with harsh overhead fluorescent lighting, lens distortion, multiple faces overlapping, as if shared on Twitter with reduced resolution"
121,nature,high,png,100,early 2000s digital camera photo,screen-lit in a dark room,slight motion blur,,,,,,,,a dog sitting on a front porch,"A early 2000s digital camera photo of a dog sitting on a front porch, with screen-lit in a dark room, slight motion blur"
122,nature,medium,png,100,food photography close-up,dramatic side lighting,overexposed highlights,,,,,,,,a coral reef seen from below the water surface,"A food photography close-up of a coral reef seen from below the water surface, with dramatic side lighting, overexposed highlights"
123,face,medium,png,100,security camera CCTV footage,backlit with rim lighting,,,East Asian,brown skin,young,man,busy street,face mid-expression with motion blur,,"A security camera CCTV footage of a young East Asian man with brown skin in busy street, with backlit with rim lighting, face mid-expression with motion blur"
124,face,low,jpeg,77,webcam image from a video call,dramatic side lighting,inconsistent shadows,,Middle Eastern,,young,man,construction site,face very small in frame,,"A webcam image from a video call of a young Middle Eastern man in construction site, with dramatic side lighting, inconsistent shadows, face very small in frame"
125,scene,medium,webp,37,parking lot surveillance camera footage,very low ambient light,,as if shared on Twitter with reduced resolution,,,,,,,a sports stadium crowd,"A parking lot surveillance camera footage of a sports stadium crowd, with very low ambient light, as if shared on Twitter with reduced resolution"
126,scene,medium,png,100,black and white film photo,screen-lit in a dark room,heavy JPEG compression artifacts,as if downloaded from Instagram,,,,,,,a busy city intersection,"A black and white film photo of a busy city intersection, with screen-lit in a dark room, heavy JPEG compression artifacts, as if downloaded from Instagram"
127,nature,low,png,100,disposable camera photo,mixed indoor-outdoor lighting,heavy noise or grain,as if screenshotted from TikTok,,,,,,,a menu board outside a restaurant,"A disposable camera photo of a menu board outside a restaurant, with mixed indoor-outdoor lighting, heavy noise or grain, as if screenshotted from TikTok"
128,face,high,jpeg,81,Polaroid instant photo,backlit with rim lighting,slight motion blur,,African American,,elderly,person,office environment,face at sharp angle,,"A Polaroid instant photo of a elderly African American person in office environment, with backlit with rim lighting, slight motion blur, face at sharp angle"
129,face,medium,jpeg,39,professional studio portrait,dappled shade under trees,overexposed highlights,as if screenshotted from TikTok,Southeast Asian,dark brown skin,young,woman,bedroom,face on a screen within the image,,"A professional studio portrait of a young Southeast Asian woman with dark brown skin in bedroom, with dappled shade under trees, overexposed highlights, face on a screen within the image, as if screenshotted from TikTok"
130,face,low,webp,83,screen recording or screenshot,blue hour twilight,chromatic aberration,,Central Asian,dark brown skin,middle-aged,man,cafe or restaurant,,,"A screen recording or screenshot of a middle-aged Central Asian man with dark brown skin in cafe or restaurant, with blue hour twilight, chromatic aberration"
131,face,low,jpeg,56,HDR photo with tone-mapped highlights,mixed indoor-outdoor lighting,digital zoom pixelation,as if saved from a YouTube video at 480p,Eastern European,,elderly,man,conference stage,face at sharp angle,,"A HDR photo with tone-mapped highlights of a elderly Eastern European man in conference stage, with mixed indoor-outdoor lighting, digital zoom pixelation, face at sharp angle, as if saved from a YouTube video at 480p"
132,nature,medium,jpeg,77,DSLR photo,blue hour twilight,chromatic aberration,as if screenshotted from TikTok,,,,,,,a cat sleeping on a windowsill,"A DSLR photo of a cat sleeping on a windowsill, with blue hour twilight, chromatic aberration, as if screenshotted from TikTok"
133,nature,high,png,100,helmet-mounted camera capture,backlit with rim lighting,lens distortion,,,,,,,,rolling green hills under a cloudy sky,"A helmet-mounted camera capture of rolling green hills under a cloudy sky, with backlit with rim lighting, lens distortion"
134,scene,medium,webp,32,smartphone photo,direct flash,heavy JPEG compression artifacts,as if shared on WhatsApp with compression,,,,,,,people walking through a shopping mall,"A smartphone photo of people walking through a shopping mall, with direct flash, heavy JPEG compression artifacts, as if shared on WhatsApp with compression"
135,scene,low,webp,39,medium format film photo,golden hour sunlight,,as if saved from a YouTube video at 480p,,,,,,,a family gathering around a table,"A medium format film photo of a family gathering around a table, with golden hour sunlight, as if saved from a YouTube video at 480p"
136,scene,high,jpeg,35,disposable camera photo,dramatic side lighting,,as if screenshotted from TikTok,,,,,,,a classroom full of students,"A disposable camera photo of a classroom full of students, with dramatic side lighting, as if screenshotted from TikTok"
137,scene,low,jpeg,84,tablet camera photo,soft natural daylight,slight motion blur,,,,,,,,a restaurant interior with diners,"A tablet camera photo of a restaurant interior with diners, with soft natural daylight, slight motion blur"
138,face,high,png,100,passport photo or ID headshot,backlit with rim lighting,color banding,,South Asian,,young,woman,construction site,face on a screen within the image,,"A passport photo or ID headshot of a young South Asian woman in construction site, with backlit with rim lighting, color banding, face on a screen within the image"
139,nature,low,png,100,large format film photo,tungsten indoor lighting with warm cast,heavy noise or grain,as if screenshotted from TikTok,,,,,,,a horse standing in a pasture,"A large format film photo of a horse standing in a pasture, with tungsten indoor lighting with warm cast, heavy noise or grain, as if screenshotted from TikTok"
140,face,medium,jpeg,65,large format film photo,golden hour sunlight,overexposed highlights,,African American,,middle-aged,woman,inside a vehicle,,,"A large format film photo of a middle-aged African American woman in inside a vehicle, with golden hour sunlight, overexposed highlights"
141,face,low,png,100,scanned printed photograph,neon lighting,inconsistent shadows,,West African,light skin,middle-aged,woman,inside a vehicle,,,"A scanned printed photograph of a middle-aged West African woman with light skin in inside a vehicle, with neon lighting, inconsistent shadows"
142,nature,high,webp,47,documentary-style photo,nighttime artificial lighting,,,,,,,,,a bird perched on a fence,"A documentary-style photo of a bird perched on a fence, with nighttime artificial lighting"
143,face,low,webp,56,photojournalist shot,backlit with rim lighting,lens distortion,,Eastern European,,elderly,woman,stairwell,face mid-expression with motion blur,,"A photojournalist shot of a elderly Eastern European woman in stairwell, with backlit with rim lighting, lens distortion, face mid-expression with motion blur"
